Cluster,Stylisation,Indicator,Dimension,Lag,Year,FE,N_author,Impact,SE,L.bound,U.bound,n.obs,p,BIC
,Concepts,k,Variety,y_5,2013,0,1,-0.00452750983482542,0.0175475985849987,-0.0381824000065607,0.0303049961681021,2825,0.795944716372687,27432.2326581637
,Concepts,k,Variety,y_5,2018,0,1,0.0428497447571874,0.0167207394549358,0.00922736997010309,0.0775922477928315,3003,0.0120975746733703,30210.4376027581
MKTG,Concepts,RR,Balance,y_3,2013,0,0,0.0330725167449584,0.036711126853443,-0.0386484294286509,0.110144152798838,628,0.375451250658555,5095.2608610657
MKTG,Concepts,RR,Balance,y_3,2018,0,0,0.0687025628140305,0.0400570488753238,-0.0119925280000867,0.155988390911053,698,0.0971625319501625,6149.51762642671
FINAC,Concepts,RR,Balance,y_3,2013,0,0,0.0222027023770344,0.0463957809989552,-0.066649285290046,0.119513113644127,568,0.635988585814331,5078.22730332949
FINAC,Concepts,RR,Balance,y_3,2018,0,0,0.0290369489826645,0.0335893513563489,-0.0365267501723486,0.0990622132591359,754,0.394127570629232,6930.24220005956
MGMT,Concepts,RR,Balance,y_3,2013,0,0,0.00686724372227299,0.0230491643733993,-0.0376063962064876,0.0533960767037685,1629,0.766527132246482,13519.3443124413
MGMT,Concepts,RR,Balance,y_3,2018,0,0,0.0542459394453423,0.0208825826704104,0.0119676987188286,0.098290491133354,1551,0.0114174227016751,13295.3041431517
,Concepts,RR,Balance,y_3,2013,0,0,-0.0126423916887894,0.0182547879885293,-0.0473442932826002,0.0233235783042711,2825,0.485823380931414,23747.3631648011
,Concepts,RR,Balance,y_3,2018,0,0,0.0294859301107187,0.0162796670772433,-0.00284392883123763,0.0628639898403227,3003,0.0742575812362989,26417.5839070142
MKTG,Concepts,RR,Balance,y_3,2013,0,1,0.0438408119957323,0.0366669728719094,-0.0285436554927352,0.121618739687753,628,0.24192809422917,5093.92433662067
MKTG,Concepts,RR,Balance,y_3,2018,0,1,0.0732949783315917,0.0395998094213583,-0.00685724554040845,0.159915938911159,698,0.0740662427169185,6131.40453062987
FINAC,Concepts,RR,Balance,y_3,2013,0,1,0.0260555633529687,0.0462652779191267,-0.0628916588421964,0.123445361490272,568,0.578234406847442,5079.771031393
FINAC,Concepts,RR,Balance,y_3,2018,0,1,0.0594421555078555,0.0328746824030955,-0.00666835945930566,0.129952611049591,754,0.0790128198267311,6894.17738676188
MGMT,Concepts,RR,Balance,y_3,2013,0,1,0.0235356384280552,0.0233552254823136,-0.0222609407483408,0.071477295725668,1629,0.319226406822832,13508.7662063476
MGMT,Concepts,RR,Balance,y_3,2018,0,1,0.0610722047068808,0.0208577956178605,0.0185696941333384,0.10534824478504,1551,0.00448176347935757,13285.2098273293
,Concepts,RR,Balance,y_3,2013,0,1,-0.00192440330869337,0.0183419982322972,-0.0371675918167753,0.0346088148303603,2825,0.916360773824954,23729.6784694151
,Concepts,RR,Balance,y_3,2018,0,1,0.0391285439705031,0.0161724560767559,0.00670738637772606,0.0725938296524142,3003,0.0176289539603808,26356.1335893755
MKTG,Concepts,RR,Balance,y_5,2013,0,0,0.0440051818565159,0.0370130115225225,-0.0290494284100891,0.122556442763602,628,0.244628735762313,5915.54565858426
MKTG,Concepts,RR,Balance,y_5,2018,0,0,0.0442940210026019,0.0412722506905056,-0.0368547480453562,0.132279892455036,698,0.293660012587106,7027.92395099442
FINAC,Concepts,RR,Balance,y_5,2013,0,0,0.0254369421350282,0.0462345167909391,-0.0634001861526443,0.12270033236053,568,0.58692931245964,5761.16193994011
FINAC,Concepts,RR,Balance,y_5,2018,0,0,0.0335398321960116,0.0344514878813559,-0.0339445405649229,0.10573836553899,754,0.338280669293507,7800.16964338671
MGMT,Concepts,RR,Balance,y_5,2013,0,0,0.0034860264085006,0.0232613211849921,-0.0412370195415492,0.0502952509864463,1629,0.881077811671553,15749.4302864548
MGMT,Concepts,RR,Balance,y_5,2018,0,0,0.0379321766742735,0.0213463889761096,-0.00459711215867786,0.082278559299829,1551,0.0811399781152782,15463.7832127565
,Concepts,RR,Balance,y_5,2013,0,0,-0.00673972164635117,0.0182511804013589,-0.0416423035879713,0.029433982998986,2825,0.710990637616453,27455.5655951242
,Concepts,RR,Balance,y_5,2018,0,0,0.024899575391486,0.0165482797416859,-0.00780875178249341,0.0586861570536421,3003,0.137216972485253,30292.809859107
MKTG,Concepts,RR,Balance,y_5,2013,0,1,0.054973850040565,0.0370183561726962,-0.0188585742609633,0.134362279557279,628,0.148272413344145,5915.08372359682
MKTG,Concepts,RR,Balance,y_5,2018,0,1,0.0501670112467112,0.040678944875519,-0.0303111741400139,0.13732438912325,698,0.228858009771624,7005.1213883292
FINAC,Concepts,RR,Balance,y_5,2013,0,1,0.0294209798067515,0.0460146920650154,-0.0593561116058249,0.126576770168971,568,0.528591751015834,5759.85168988506
FINAC,Concepts,RR,Balance,y_5,2018,0,1,0.0660538072790946,0.0334923825215926,-0.00167865264132328,0.13838166740708,754,0.0561587839313383,7758.82858729105
MGMT,Concepts,RR,Balance,y_5,2013,0,1,0.0206928685744052,0.0235577476528279,-0.0253634603716886,0.0689255836395746,1629,0.384615065495937,15736.6961625699
MGMT,Concepts,RR,Balance,y_5,2018,0,1,0.0457921441556279,0.02125775608765,0.00311503628947762,0.0902849316496663,1551,0.035180672798045,15445.4087379921
,Concepts,RR,Balance,y_5,2013,0,1,0.00529464842158589,0.0183356097826653,-0.0301913100169929,0.0420790621733733,2825,0.773345676892126,27432.216670297
,Concepts,RR,Balance,y_5,2018,0,1,0.0355568019041115,0.0163777839624337,0.00284342308372532,0.0693373115738534,3003,0.0328974794230582,30212.2763973317
MKTG,Concepts,GINI,Balance,y_3,2013,0,0,-0.0041573689843023,0.040797729394194,-0.0806865294172248,0.0787425372105151,628,0.918665886570215,5096.0276269945
MKTG,Concepts,GINI,Balance,y_3,2018,0,0,-0.00592343611990165,0.0451206763550382,-0.090059394124112,0.0859919960429241,698,0.895245143611339,6152.19339682143
FINAC,Concepts,GINI,Balance,y_3,2013,0,0,0.00623663015547704,0.0386851471793266,-0.0672370957499764,0.0854978808154339,568,0.872318293508752,5078.42436895861
FINAC,Concepts,GINI,Balance,y_3,2018,0,0,0.00187907632966833,0.0303482222614986,-0.0559763966052583,0.0632802823760208,754,0.950675055391705,6930.95830326968
MGMT,Concepts,GINI,Balance,y_3,2013,0,0,0.0194813272159429,0.0234905352226589,-0.0263920850572326,0.0675161536695983,1629,0.411445865278894,13518.7608084346
MGMT,Concepts,GINI,Balance,y_3,2018,0,0,0.019340120664243,0.0219612882683208,-0.0236048001483754,0.0641738936792098,1551,0.383078372791796,13300.8276688936
,Concepts,GINI,Balance,y_3,2013,0,0,0.0129054471404879,0.0179681635666258,-0.0221451860834374,0.0492124497884972,2825,0.475447020898683,23747.3433651821
,Concepts,GINI,Balance,y_3,2018,0,0,0.00523979612850667,0.0166550477461558,-0.0270447382746073,0.0385955937259608,3003,0.753683790167291,26420.6408135584
MKTG,Concepts,GINI,Balance,y_3,2013,0,1,0.0071956246613416,0.0407117690531598,-0.0700493338700254,0.0908568199199142,628,0.860205401638045,5095.24500059484
MKTG,Concepts,GINI,Balance,y_3,2018,0,1,0.00835130002062723,0.0444409533527048,-0.075762353430282,0.100120026518083,698,0.851551910227448,6134.49248522088
FINAC,Concepts,GINI,Balance,y_3,2013,0,1,0.00463526751462307,0.0386661718830082,-0.0686868938269072,0.0837300732097639,568,0.904798307175706,5080.06439933015
FINAC,Concepts,GINI,Balance,y_3,2018,0,1,0.0256715372688539,0.0298933387663879,-0.0326958572263122,0.0875608361883982,754,0.396475136790919,6896.49164177918
MGMT,Concepts,GINI,Balance,y_3,2013,0,1,0.0397385363414327,0.0238692890445853,-0.00778322529600273,0.089536330683313,1629,0.102550745226024,13507.109441633
MGMT,Concepts,GINI,Balance,y_3,2018,0,1,0.0271353759227579,0.0219635261736661,-0.0161422753431471,0.0723167120936592,1551,0.22284072387097,13291.6468796042
,Concepts,GINI,Balance,y_3,2013,0,1,0.0243255220008123,0.0180480883836214,-0.0112751877317744,0.0612080955217227,2825,0.182963718522036,23727.9259565627
,Concepts,GINI,Balance,y_3,2018,0,1,0.0174406331137156,0.0165553149254888,-0.0150432330636016,0.0509958169338447,3003,0.296302601484232,26360.608345588
MKTG,Concepts,GINI,Balance,y_5,2013,0,0,-0.00177653327266081,0.0416376345999765,-0.0800043869706111,0.0831030881158299,628,0.96593711509622,5916.87620283364
MKTG,Concepts,GINI,Balance,y_5,2018,0,0,-0.0302094500154453,0.045993047158798,-0.113806428830575,0.0612734524786334,698,0.504802740456788,7028.56333622153
FINAC,Concepts,GINI,Balance,y_5,2013,0,0,-0.000550918373066978,0.0388429763277239,-0.0738155784636523,0.0785092510063543,568,0.988680691227065,5761.4551012858
FINAC,Concepts,GINI,Balance,y_5,2018,0,0,0.00758025057905853,0.031107977285253,-0.0520171335583466,0.0709243777450099,754,0.808194006746264,7801.0181640455
MGMT,Concepts,GINI,Balance,y_5,2013,0,0,0.0165824078507757,0.0236924292359742,-0.0295446523016369,0.0649019497936703,1629,0.487579642983712,15748.9727537422
MGMT,Concepts,GINI,Balance,y_5,2018,0,0,0.0119969240483577,0.022260086953529,-0.031206152437525,0.057126629014119,1551,0.592140974812698,15466.4986470517
,Concepts,GINI,Balance,y_5,2013,0,0,0.00927027043648021,0.0181137172535634,-0.0259324925461005,0.0457452599455845,2825,0.610454944924751,27455.4443058781
,Concepts,GINI,Balance,y_5,2018,0,0,0.00172810789052735,0.0168976003683669,-0.0309044563722717,0.0354595155618713,3003,0.918612880524392,30294.9896458617
MKTG,Concepts,GINI,Balance,y_5,2013,0,1,0.00949062834304093,0.0416102441842826,-0.0695702517966799,0.0952695038827771,628,0.820417204667836,5917.08377693392
MKTG,Concepts,GINI,Balance,y_5,2018,0,1,-0.0182150889748453,0.0452162315852526,-0.101479009740333,0.0727647121945469,698,0.684332560933307,7006.38232586359
FINAC,Concepts,GINI,Balance,y_5,2013,0,1,-0.00335766626614076,0.0387821260357245,-0.0763064204018508,0.0753522199673664,568,0.930891415980884,5760.23898811264
FINAC,Concepts,GINI,Balance,y_5,2018,0,1,0.0299576850233398,0.0305478812303981,-0.0298989407517568,0.0935075503996348,754,0.33390552852564,7761.47160526668
MGMT,Concepts,GINI,Balance,y_5,2013,0,1,0.0375694927115771,0.0240538567439692,-0.0102112486534858,0.08765678609826,1629,0.12521041949411,15735.1168857569
MGMT,Concepts,GINI,Balance,y_5,2018,0,1,0.0209548639656101,0.022201416228399,-0.0225182385710151,0.0663614150009539,1551,0.350252599264575,15448.9076308955
